date,year,month,month_name,quarter,day_of_week,week_number,is_weekend
2018-01-29,2018,1,January,1,Monday,5,False
2018-01-30,2018,1,January,1,Tuesday,5,False
2018-01-31,2018,1,January,1,Wednesday,5,False
2018-02-01,2018,2,February,1,Thursday,5,False
2018-02-02,2018,2,February,1,Friday,5,False
2018-02-03,2018,2,February,1,Saturday,5,True
2018-02-04,2018,2,February,1,Sunday,5,True
2018-02-05,2018,2,February,1,Monday,6,False
2018-02-06,2018,2,February,1,Tuesday,6,False
2018-02-07,2018,2,February,1,Wednesday,6,False
2018-02-08,2018,2,February,1,Thursday,6,False
2018-02-09,2018,2,February,1,Friday,6,False
2018-02-10,2018,2,February,1,Saturday,6,True
2018-02-11,2018,2,February,1,Sunday,6,True
2018-02-12,2018,2,February,1,Monday,7,False
2018-02-13,2018,2,February,1,Tuesday,7,False
2018-02-14,2018,2,February,1,Wednesday,7,False
2018-02-15,2018,2,February,1,Thursday,7,False
2018-02-16,2018,2,February,1,Friday,7,False
2018-02-17,2018,2,February,1,Saturday,7,True
2018-02-18,2018,2,February,1,Sunday,7,True
2018-02-19,2018,2,February,1,Monday,8,False
2018-02-20,2018,2,February,1,Tuesday,8,False
2018-02-21,2018,2,February,1,Wednesday,8,False
2018-02-22,2018,2,February,1,Thursday,8,False
2018-02-23,2018,2,February,1,Friday,8,False
2018-02-24,2018,2,February,1,Saturday,8,True
2018-02-25,2018,2,February,1,Sunday,8,True
2018-02-26,2018,2,February,1,Monday,9,False
2018-02-27,2018,2,February,1,Tuesday,9,False
2018-02-28,2018,2,February,1,Wednesday,9,False
2018-03-01,2018,3,March,1,Thursday,9,False
2018-03-02,2018,3,March,1,Friday,9,False
2018-03-03,2018,3,March,1,Saturday,9,True
2018-03-04,2018,3,March,1,Sunday,9,True
2018-03-05,2018,3,March,1,Monday,10,False
2018-03-06,2018,3,March,1,Tuesday,10,False
2018-03-07,2018,3,March,1,Wednesday,10,False
2018-03-08,2018,3,March,1,Thursday,10,False
2018-03-09,2018,3,March,1,Friday,10,False
2018-03-10,2018,3,March,1,Saturday,10,True
2018-03-11,2018,3,March,1,Sunday,10,True
2018-03-12,2018,3,March,1,Monday,11,False
2018-03-13,2018,3,March,1,Tuesday,11,False
2018-03-14,2018,3,March,1,Wednesday,11,False
2018-03-15,2018,3,March,1,Thursday,11,False
2018-03-16,2018,3,March,1,Friday,11,False
2018-03-17,2018,3,March,1,Saturday,11,True
2018-03-18,2018,3,March,1,Sunday,11,True
2018-03-19,2018,3,March,1,Monday,12,False
2018-03-20,2018,3,March,1,Tuesday,12,False
